SIT_TO_STAND,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_LIE,0,0,0,0,0,0,missed_category,missed_category,2,0,2,0
LIE_TO_SIT,0,0,0,0,0,0,missed_category,missed_category,0,1,0,0
STAND_TO_LIE,0,0,0,0,0,0,missed_category,missed_category,0,0,4,0
LIE_TO_STAND,0,0,0,0,0,0,missed_category,missed_category,0,0,0,3
,index,real_category,predicted_category
0,70,8,10
1,182,3,4
2,183,3,4
3,229,8,10
